id;airtable_id;название;бренд;линейка;вкус;тип;формат_пакетов;крепость;категория_крепости;количество_пакетов;вес_нетто;страна;описание;фото_url;цена_безнал;цена_нал;закупочная_цена;активен;created_at;updated_at;тип_эффекта;тип_аромки;насыщенность_аромки;отдаёт_никотином;цвет_пакетов;влажность;текучесть;тип_материал;код_товара;аналоги_коды;популярность;рейтинг;категория
1;recZb27MdcNjhlhpY;ARQA  CLASSIC  BANANA CREAM - Банановый Крем;ARQA;CLASSIC;BANANA CREAM - Банановый Крем;;Классический;70;Лёгкий;20;;;;;450.0;400.0;195.0;True;2026-02-09T00:31:36.822844+00:00;2026-02-09T00:31:36.822844+00:00;Плавный;Десерты;Сладкая;False;;Увлажнённый;Не течёт;Целлюлоза;ARQA _CLASSIC;FAFF_65, FAFF_75, FEDRS ORIGINAL_SERIES8, CHN _45, ICEBURN_DOUBLELINE, FEDRS ORIGINAL_SERIES5, FEDRS ORIGINAL_SERIES9, ICEBURN_CLASSIC;0;0.0;Снюс
2;recjfjeYhoM66xcg7;ARQA CLASSIC BLUBERRY MUFFIN - Черничный Маффин;ARQA;CLASSIC;BLUBERRY MUFFIN - Черничный Маффин;;Классический;70;Лёгкий;20;;;;;450.0;400.0;195.0;True;2026-02-09T00:31:36.822844+00:00;2026-02-09T00:31:36.822844+00:00;Плавный;Десерты;Приторная;False;;Увлажнённый;Не течёт;Целлюлоза;ARQA_CLASSIC;FAFF_65, FAFF_75, FEDRS ORIGINAL_SERIES8, CHN _45, ICEBURN_DOUBLELINE, FEDRS ORIGINAL_SERIES5, FEDRS ORIGINAL_SERIES9, ICEBURN_CLASSIC;0;0.0;Снюс
3;rec3DwTRik8Of3ZUV;ARQA CLASSIC BUBBLE GUM - Жвачка;ARQA;CLASSIC;BUBBLE GUM - Жвачка;;Классический;70;Лёгкий;20;;;;;450.0;400.0;195.0;True;2026-02-09T00:31:36.822844+00:00;2026-02-09T00:31:36.822844+00:00;Плавный;Жвачки;Приторная;False;;Увлажнённый;Не течёт;Целлюлоза;ARQA_CLASSIC;FAFF_65, FAFF_75, FEDRS ORIGINAL_SERIES8, CHN _45, ICEBURN_DOUBLELINE, FEDRS ORIGINAL_SERIES5, FEDRS ORIGINAL_SERIES9, ICEBURN_CLASSIC;0;0.0;Снюс
4;recEu0R1HwOYSyw8A;ARQA CLASSIC COLD BERRIES - Холодные Ягоды;ARQA;CLASSIC;COLD BERRIES - Холодные Ягоды;;Классический;70;Лёгкий;20;;;;;450.0;400.0;195.0;True;2026-02-09T00:31:36.822844+00:00;2026-02-09T00:31:36.822844+00:00;Плавный;Ягоды;Сладкая;False;;Увлажнённый;Не течёт;Целлюлоза;ARQA_CLASSIC;FAFF_65, FAFF_75, FEDRS ORIGINAL_SERIES8, CHN _45, ICEBURN_DOUBLELINE, FEDRS ORIGINAL_SERIES5, FEDRS ORIGINAL_SERIES9, ICEBURN_CLASSIC;0;0.0;Снюс
5;recKOMfcIbs2Fv8ew;ARQA CLASSIC COLD CARAMEL ICE CREAM - Карамельное Мороженое;ARQA;CLASSIC;COLD CARAMEL ICE CREAM - Карамельное Мороженое;;Классический;70;Лёгкий;20;;;;;450.0;400.0;195.0;True;2026-02-09T00:31:36.822844+00:00;2026-02-09T00:31:36.822844+00:00;Плавный;Десерты;Приторная;False;;Увлажнённый;Не течёт;Целлюлоза;ARQA_CLASSIC;FAFF_65, FAFF_75, FEDRS ORIGINAL_SERIES8, CHN _45, ICEBURN_DOUBLELINE, FEDRS ORIGINAL_SERIES5, FEDRS ORIGINAL_SERIES9, ICEBURN_CLASSIC;0;0.0;Снюс
6;recfJ5K78r4CY6EkB;ARQA CLASSIC COLD CHERRY STRAWBERRY - Вишня и Клубника;ARQA;CLASSIC;COLD CHERRY STRAWBERRY - Вишня и Клубника;;Классический;70;Лёгкий;20;;;;;450.0;400.0;195.0;True;2026-02-09T00:31:36.822844+00:00;2026-02-09T00:31:36.822844+00:00;Плавный;Ягоды;Сладкая;False;;Увлажнённый;Не течёт;Целлюлоза;ARQA_CLASSIC;FAFF_65, FAFF_75, FEDRS ORIGINAL_SERIES8, CHN _45, ICEBURN_DOUBLELINE, FEDRS ORIGINAL_SERIES5, FEDRS ORIGINAL_SERIES9, ICEBURN_CLASSIC;0;0.0;Снюс
7;recnSVi1riDohRgJw;ARQA CLASSIC COLD DRY - Сухой Холод;ARQA;CLASSIC;COLD DRY - Сухой Холод;;Классический;70;Лёгкий;20;;;;;450.0;400.0;195.0;True;2026-02-09T00:31:36.822844+00:00;2026-02-09T00:31:36.822844+00:00;Плавный;Мята;Освежающая;False;Белый;Увлажнённый;Не течёт;Целлюлоза;ARQA_CLASSIC;FAFF_65, FAFF_75, FEDRS ORIGINAL_SERIES8, CHN _45, ICEBURN_DOUBLELINE, FEDRS ORIGINAL_SERIES5, FEDRS ORIGINAL_SERIES9, ICEBURN_CLASSIC;0;0.0;Снюс
8;recSQ3QBFlIc4SqQT;ARQA CLASSIC COLD MELON WATERMELON - Дыня и Арбуз;ARQA;CLASSIC;COLD MELON WATERMELON - Дыня и Арбуз;;Классический;70;Лёгкий;20;;;;;450.0;400.0;195.0;True;2026-02-09T00:31:36.822844+00:00;2026-02-09T00:31:36.822844+00:00;Плавный;Фрукты;Сладкая;False;Желтый;Увлажнённый;Не течёт;Целлюлоза;ARQA_CLASSIC;FAFF_65, FAFF_75, FEDRS ORIGINAL_SERIES8, CHN _45, ICEBURN_DOUBLELINE, FEDRS ORIGINAL_SERIES5, FEDRS ORIGINAL_SERIES9, ICEBURN_CLASSIC;0;0.0;Снюс
9;recD9VC0Z9sMQapnb;ARQA CLASSIC ISABELLA GRAPE - Виноград;ARQA;CLASSIC;ISABELLA GRAPE - Виноград;;Классический;70;Лёгкий;20;;;;;450.0;400.0;195.0;True;2026-02-09T00:31:36.822844+00:00;2026-02-09T00:31:36.822844+00:00;Плавный;Ягоды;Сладкая;False;;Увлажнённый;Не течёт;Целлюлоза;ARQA_CLASSIC;FAFF_65, FAFF_75, FEDRS ORIGINAL_SERIES8, CHN _45, ICEBURN_DOUBLELINE, FEDRS ORIGINAL_SERIES5, FEDRS ORIGINAL_SERIES9, ICEBURN_CLASSIC;0;0.0;Снюс
10;recOas3m9L3qWEBLO;ARQA CLASSIC JUICE PEACH MANGO - Персик и Манго;ARQA;CLASSIC;JUICE PEACH MANGO - Персик и Манго;;Классический;70;Лёгкий;20;;;;;450.0;400.0;195.0;True;2026-02-09T00:31:36.822844+00:00;2026-02-09T00:31:36.822844+00:00;Плавный;Фрукты;Приторная;False;Белый;Увлажнённый;Не течёт;Целлюлоза;ARQA_CLASSIC;FAFF_65, FAFF_75, FEDRS ORIGINAL_SERIES8, CHN _45, ICEBURN_DOUBLELINE, FEDRS ORIGINAL_SERIES5, FEDRS ORIGINAL_SERIES9, ICEBURN_CLASSIC;0;0.0;Снюс
